Agency,Station Name,Line,Artist,Art Title,Art Date,Art Material,Art Image Link
NYCT,Beach 105 St,A; S,Callie Hirsch,Vast,2011,Faceted glass,https://new.mta.info/agency/arts-design/collection/vast
NYCT,Beach 98 St,A;S,Duke Riley,Be Good or Be Gone,2011,Faceted glass,https://new.mta.info/agency/arts-design/collection/be-good-or-be-gone
NYCT,Beach 36 St,A,George Bates,Convergence 1&2,2011,Glass blocks,https://new.mta.info/agency/arts-design/collection/symphonic-convergence-1-2
NYCT,Beach 67 St,A,Ingo Fast,On and Off the Boardwalk,2011,laminated glass,https://new.mta.info/agency/arts-design/collection/on-and-off-the-boardwalk
NYCT,Wall St,4;5,James Garvey,Lariat Tapers,2011,Forged and polished bronze seat rests,https://new.mta.info/agency/arts-design/collection/lariat-tapers
NYCT,Avenue U,B;Q,Jason Middlebrook,Brooklyn Seeds,2011,Glass or ceramic mosaic,https://new.mta.info/agency/arts-design/collection/brooklyn-seeds
NYCT,Far Rockaway-Mott Av,A,Jason Rohlf,Respite,2011,Tempered and laminated art glass,https://new.mta.info/agency/arts-design/collection/respite
NYCT,Elder Av,6,Jean Whitesavage and Nick Lyle,Bronx Trees,2011,Forged Steel,https://new.mta.info/agency/arts-design/collection/bronx-trees
NYCT,Beach 44 St,A,Jill Parisi,Coom Barooom,2011,Glass block,https://new.mta.info/agency/arts-design/collection/coom-barooom
NYCT,E 180 St,2;5,Luisa Caldwell,Station Villa,2011,Laminated Glass and Mosaic,https://new.mta.info/agency/arts-design/collection/station-villa
NYCT,Neck Rd,Q,Mary Temple,West Wall; East Light; Morning,2011,Glass or ceramic mosaic,https://new.mta.info/agency/arts-design/collection/west-wall-east-light-morning
Metro-North,Rye,New Haven,Matt Mullican,Untitled,2011,ceramic mosaic,https://new.mta.info/agency/arts-design/collection/untitled-mullican-rye
NYCT,Beach 25 St,A,Mauricio Lopez,Past/Present/Future,2011,Faceted glass,https://new.mta.info/agency/arts-design/collection/past-present-future
NYCT,Beach 90 St,A,Michael Miller,Surf Station 90,2011,Faceted glass,https://new.mta.info/agency/arts-design/collection/surf-station-90
NYCT,Avenue M,Q,Rita MacDonald,Hare Apparent,2011,Glass or ceramic mosaic,https://new.mta.info/agency/arts-design/collection/bird-laid-bare-hare-apparent
NYCT,Avenue J,Q,Rita MacDonald,Bird Laid Bare,2011,Glass or ceramic mosaic,https://new.mta.info/agency/arts-design/collection/bird-laid-bare-hare-apparent
NYCT,Beach 60 St,A,Simon Levenson,The Beaches of New York City,2011,Glass Blocks,https://new.mta.info/agency/arts-design/collection/beaches-of-new-york-city
NYCT,Parkchester,6,William Low,A Day in Parkchester,2011,Faceted Glass,https://new.mta.info/agency/arts-design/collection/day-in-parkchester
NYCT,25 Av,D,Amy Cheng,Rediscovery,2012,Laminated glass,https://new.mta.info/agency/arts-design/collection/rediscovery
NYCT,62 St,D,Andrea Dezsš,Nature Rail,2012,Stainless steel,https://new.mta.info/agency/arts-design/collection/nature-rail
NYCT,9 Av,D,Christopher Russell,Bees for Sunset Park,2012,Bronze gates and decorative elements,https://new.mta.info/agency/arts-design/collection/bees-for-sunset-park
